Playlist, Tittle, YouTube_Vidoe_ID, google_doc_link
JYOTISHA(Kannada)-2022,84: Planetery Combination to understand Diseases(ರೋಗನಿರ್ಣಯಕ್ಕೆ ಸೂತ್ರಗಳು),z928opvuKoI, https://drive.google.com/file/d/1KBYcvMN3n2HX0xWw-R2JYvqWWVWoma-H/view
JYOTISHA(Kannada)-2022,85: Questions & Answers(ಪ್ರಶ್ನೋತ್ತರಗಳು),qw1dUY34c_I, none
JYOTISHA(Kannada)-2022,86: Importance of Drekkana Chakra,T_IbDN78JmQ, https://drive.google.com/file/d/1vEwwoIgeYV5qWYs4qpJV2-T_tA6SKtsb/view
JYOTISHA(Kannada)-2022,87: Roga Prashne & QA,zAPd-qjAJGo, https://drive.google.com/file/d/1hwqpeDwmCwJqnbNce45-Zp0qEiJv8sOI/view
JYOTISHA(Kannada)-2022,88: Roga Sthaana(Practice-I),NnUdRZp3Ozs, none
JYOTISHA(Kannada)-2022,89: Roga Sthaana(Practice-II),SLUdeNiZgj4, none
JYOTISHA(Kannada)-2022,90: Balarista Dosha & Maanasika Roga(Introduction),D3svHod9HEQ, https://drive.google.com/file/d/13MMCjgtSbwGfF720BvimQ_r-iUpiHRcJ/view
JYOTISHA(Kannada)-2022,91: Understanding Shatru(Enemy) Sthaana,DwwJGC3wqf4, none
JYOTISHA(Kannada)-2022,92: Analysing Shatru Bhaava (ಶತೃಭಾವ ಪರಿಶೀಲನೆ),hKIk1MmWya0, https://drive.google.com/file/d/1xpJP7eygHRlOUBzU2TstrgZaKy6QToyr/view
JYOTISHA(Kannada)-2022,93: Analyzing  Debts(ಸಾಲ - ಪರಿಶೀಲನೆ),BFTo56vOhM0, https://drive.google.com/file/d/1nPuY2UWnD3whdufV_151FW87p7z2pVve/view
JYOTISHA(Kannada)-2022,94 : Ashtama Sthaana(Part-1),uzLOa4b4bdc, none
JYOTISHA(Kannada)-2022,95 : Ashtama Sthaana(Part-2),RmGfh72EUmY, none
JYOTISHA(Kannada)-2022,96: Analysing 9th House(ಭಾಗ್ಯಸ್ಥಾನ)-1,3qdUh0iVq0A, none
JYOTISHA(Kannada)-2022,97: Analysing 9th House(ಭಾಗ್ಯಸ್ಥಾನ)-2,2GPzQdZs0eY, none
JYOTISHA(Kannada)-2022,98: Problems & Remedies(ಸಮಸ್ಯೆ-ಪರಿಹಾರ)-1,uVcJczV8lQY, none
JYOTISHA(Kannada)-2022,99: Problems & Remedies(ಸಮಸ್ಯೆ-ಪರಿಹಾರ)-2,lwzjipjDeBE, none
JYOTISHA(Kannada)-2022,100: Course Summary,qlhmlKJH7mM, none
JYOTISHA(Kannada)-2022,Advice to Aspiring Astrologers,Hp9mr4vNDsc, none
JYOTISHA(Kannada)-2022,Students Feedback,urDY6Fl_Ny0, none
MANA:SHASTRA(Kannada),02: Vidura Neethi,ojuhNT5YVp8, none
MANA:SHASTRA(Kannada),03: ADHYATMA VIJNAANA - Introduction,sdomJ4l_SaE, none
MANA:SHASTRA(Kannada),04: About MANASSU & BUDHI(Part-1),f72gyGPsf4w, none
MANA:SHASTRA(Kannada),05: About MANASSU & BUDHI(Part-2),r41xM4hzNBg, none
MANA:SHASTRA(Kannada),06: BHAGAWADGEETHA-IMPORTANCE(Part-01),wN_1JrH9BkI, none
MANA:SHASTRA(Kannada),07: BHAGAWADGEETHA-IMPORTANCE(Part-02),NC4dSAW2sH4, none
MANA:SHASTRA(Kannada),08: BHAGAWADGEETHA-PREFACE(Part-01),xA478uZYCjk, none
MANA:SHASTRA(Kannada),09: BHAGAWADGEETHA-PREFACE(Part-02),D6UNzOeD5k8, none
MANA:SHASTRA(Kannada),10: Vishaada Yoga(Drutarastra-Dhuryodhana-Arjuna)-01,Zwv5IKGcbm0, none
MANA:SHASTRA(Kannada),11: Duryodhana Vishaada-02,IQhRe-Uesag, none
MANA:SHASTRA(Kannada),12: ಶಂಖನಾದ ಕ್ರಮ ಮತ್ತು ಶಿಸ್ತು,0-1LhyJ4KyE, none
MANA:SHASTRA(Kannada),13: ಯುದ್ಧ ಜಿಹಾಸೆ  - ಅರ್ಜುನ ಹೇಳುವ ಕಾರಣಗಳು,e93OvRPRZ90, none
MANA:SHASTRA(Kannada),14: ಯುದ್ಧ ಪುಣ್ಯದ ಕೆಲಸವೋ/ಪಾಪದ ಕೆಲಸವೋ...?,5l1a5mLUoSY, none
MANA:SHASTRA(Kannada),15: TATHVA VIVEEKA(ತತ್ವ ವಿವೇಕ),I7dapDC_UR4, none
MANA:SHASTRA(Kannada),16: TATHVA VIVEEKA(ತತ್ವ ವಿವೇಕ-2),5bjuxPtYmiQ, none
MANA:SHASTRA(Kannada),17: TATHVA VIVEEKA(ತತ್ವ ವಿವೇಕ-3),RzOGeywruQo, none
MANA:SHASTRA(Kannada),18: TATHVA VIVEEKA(ತತ್ವ ವಿವೇಕ-4),5MpjL9bOdco, none
MANA:SHASTRA(Kannada),19: Aatma-Existance-Experience,ylDDt7zzJLM, none
MANA:SHASTRA(Kannada),20: VAIKUNTA EKADASHI - Upavaasa-Importance,TT8GEgcByhg, none
MANA:SHASTRA(Kannada),21: How to come-out from 15 Fences..?,5zjSqUwlVJI, none
MANA:SHASTRA(Kannada),22: Swadharma-KulaDharma-Sanaathana Dharma,DooLPDXVa3A, none
MANA:SHASTRA(Kannada),23: Swadharma-Kartavya,1ZfsJ8QDTuI, none
MANA:SHASTRA(Kannada),24: Sankya Vs Yoga,ZgsS-Od0HwU, none
MANA:SHASTRA(Kannada),25: Vaidhika Yoga,gcEkuJF9NCA, none
